idx	name	localDegree	globalDegree	pValueRaw	oddsRatio	pValueFDR
540	PLD2	3	32	1.49422763951613e-07	6.59323026103158	5.52864226620969e-06
1647	HD	3	57	8.79684954925029e-07	5.97670788309519	1.6274171666113e-05
3798	SCAMP1	2	7	2.9345240217572e-06	7.42817113276917	3.61924629350055e-05
2894	PCDHA4	2	13	1.0890245074269e-05	6.68992368118506	8.05878135495907e-05
5373	LAMA4	2	13	1.0890245074269e-05	6.68992368118506	8.05878135495907e-05
4712	TK1	2	18	2.13462505796509e-05	6.32836959048774	0.000120398453234653
343	PLD1	2	20	2.65007762007313e-05	6.21374285934593	0.000120398453234653
4445	BTBD2	2	21	2.9286110246267e-05	6.16099091831834	0.000120398453234653
5817	RAB4A	2	21	2.9286110246267e-05	6.16099091831834	0.000120398453234653
5407	SERPINB9	2	24	3.84736748670447e-05	6.01756538178018	0.000142352597008065
1688	CCT5	2	27	4.89073193786023e-05	5.89207744046896	0.000164506437909844
225	SMAD3	3	225	5.55470944454843e-05	4.55156394875213	0.000171270207873577
3447	PAFAH1B3	2	31	6.47543846228318e-05	5.74593240064438	0.000184300940849598
5960	MYOC	2	37	9.26647513910493e-05	5.56013977242736	0.000226159450198961
1310	SP3	2	38	9.77986811671183e-05	5.53225180136045	0.000226159450198961
764	SMARCA4	2	38	9.77986811671183e-05	5.53225180136045	0.000226159450198961
383	WT1	2	40	0.000108479316247999	5.47868897147291	0.000236102041245646
1267	CSNK1A1	2	50	0.000170122401155141	5.24669846299714	0.000344763284202521
1365	UBE3A	2	51	0.000177040605401294	5.22618103141359	0.000344763284202521
1650	UBB	2	57	0.000221421211057034	5.11111907291479	0.000409629240455513
935	XRCC6	2	73	0.000363753645570324	4.85606494580092	0.00064089928029057
766	SIN3A	2	83	0.000470344114518129	4.72407052497227	0.000791033283507762
760	E2F1	2	87	0.000516761405123582	4.67572129698006	0.000831311825633589
6578	ACTA1	2	89	0.000540778379725649	4.65238087214609	0.000833700002077042
5465	PSMD11	2	96	0.000629073392514428	4.57465643056937	0.000931028620921353
1347	HDAC2	2	105	0.000752251229269537	4.48270228040231	0.00107051136472973
109	PTK2	2	113	0.000870829565023182	4.40737527177936	0.00119078236996891
276	PRKCD	2	117	0.000933315911597252	4.37169203086312	0.00119078236996891
463	YWHAZ	2	117	0.000933315911597252	4.37169203086312	0.00119078236996891
67	SP1	2	122	0.00101441364036204	4.32876591151749	0.00123101774036992
82	LYN	2	125	0.00106466399167128	4.30384622693059	0.00123101774036992
516	DYNLL1	2	125	0.00106466399167128	4.30384622693059	0.00123101774036992
201	AR	2	147	0.00146948066377049	4.13750060050122	0.00164759953210631
24	MAPK1	2	168	0.00191510903345557	4.00037482496446	0.00208408924228989
763	HDAC1	2	177	0.0021236595182092	3.94674093792435	0.00224501149067829
87	PRKCA	2	185	0.0023178356332365	3.901284353032	0.00238221995638196
3236	ESR1	2	193	0.00252026085628595	3.85772947482687	0.00252026085628595
